feature,target,is_binary,full_r,mean_r,std_r,sign_pct,snr,max_wrong_streak,regime_high_r,regime_low_r,regime_consistent,n_windows,tier2_pass
open,tgt_ret_1,False,-0.039179498011395385,-0.12483927600114762,0.038056781347407205,1.0,3.2803424667349823,0,-0.08223549871230929,-0.0037909497251224604,True,23,True
high,tgt_ret_1,False,-0.037003722125990214,-0.12165869468615564,0.03827308638129826,1.0,3.1787009146354834,0,-0.07937075421602106,-0.003286717068240764,True,23,True
low,tgt_ret_1,False,-0.03904724808308794,-0.12925181933165666,0.03594320479746011,1.0,3.596001526853001,0,-0.08137575822207485,-0.003318782669116418,True,23,True
close,tgt_ret_1,False,-0.038099180482531386,-0.12702795051710206,0.037799968217495816,1.0,3.360530617015356,0,-0.08102419480308701,-0.002967150276450364,True,23,True
range,tgt_ret_1,False,-0.006302303737803904,-0.01033558580199757,0.05516579195520875,0.4782608695652174,0.18735497915790703,4,-0.030981532155293548,-0.017563665764091282,True,23,False
return,tgt_ret_1,False,0.02034291121432097,0.018359756790665392,0.07183215188148664,0.6086956521739131,0.2555924653483375,2,0.013318723437619863,0.047014399855363855,True,23,False
total_volume,tgt_ret_1,False,0.018949528886857046,0.011384097369746918,0.056918198906588446,0.4782608695652174,0.20000803940458445,6,0.009724512684452485,0.008917202992358814,True,23,False
total_notional,tgt_ret_1,False,0.005401363198533412,-0.0027208740789852553,0.060116568283508684,0.43478260869565216,0.04525997003278132,6,-0.02339007296797539,0.005458806157614352,False,23,False
total_trades,tgt_ret_1,False,0.01205039111773938,0.010106640244630469,0.06343721690982186,0.5217391304347826,0.15931720742095917,5,-0.023689408633542,0.019430533008690964,False,23,False
buy_volume,tgt_ret_1,False,0.022589459129854564,0.01632757651701028,0.05551251222494976,0.4782608695652174,0.2941242588850438,6,0.009664709946055904,0.018412521790645665,True,23,False
sell_volume,tgt_ret_1,False,0.015899118027972583,0.008436117291574886,0.057365222700864256,0.4782608695652174,0.14705978455911736,3,0.011905581193903472,0.0011385092600863067,True,23,False
net_volume_delta,tgt_ret_1,False,0.020934689962532744,0.020736237276664054,0.0616893023411177,0.6086956521739131,0.3361399219916733,3,0.00838016579948881,0.04557029896834633,True,23,False
buy_sell_volume_ratio,tgt_ret_1,False,0.023795074043631872,0.022051406498074983,0.05827409606640835,0.5652173913043478,0.37840838359715623,4,0.0113280999531203,0.04700993863368278,True,23,False
buy_trades,tgt_ret_1,False,0.012422021481220876,0.010951896637975656,0.060753438685474434,0.5217391304347826,0.18026793009486308,5,-0.024219764739905426,0.021901246602492506,False,23,False
sell_trades,tgt_ret_1,False,0.012339318822752136,0.010016011325738577,0.06511849331613193,0.5652173913043478,0.15381208648538083,2,-0.02163106384849518,0.019900943700069014,False,23,False
buy_sell_trade_ratio,tgt_ret_1,False,-0.012561056809847088,-0.01268781319887024,0.07042775600060674,0.6956521739130435,0.18015359169985387,4,-0.023163526017047853,0.0019300230311479645,False,23,False
order_flow_imbalance,tgt_ret_1,False,0.023795074043631872,0.022051406498074983,0.05827409606640835,0.5652173913043478,0.37840838359715623,4,0.0113280999531203,0.04700993863368278,True,23,False
trade_imbalance,tgt_ret_1,False,-0.012561056809847088,-0.01268781319887024,0.07042775600060674,0.6956521739130435,0.18015359169985387,4,-0.023163526017047853,0.0019300230311479645,False,23,False
avg_trade_size,tgt_ret_1,False,0.006834398575609476,0.008162043092052063,0.053084812446332966,0.43478260869565216,0.15375476931944754,5,0.04048975813855768,-0.02511716848453766,False,23,False
std_trade_size,tgt_ret_1,False,0.007076702292313574,-0.006429254964389575,0.04775943676378461,0.34782608695652173,0.13461747876526048,8,0.016711148673834275,-0.010561003243568843,False,23,False
avg_buy_size,tgt_ret_1,False,0.01422438403201255,0.016769394545321014,0.05839803507116187,0.6521739130434783,0.28715682856257746,3,0.0408599966472121,-0.007861857341037651,False,23,False
size_imbalance,tgt_ret_1,False,0.03024565079999871,0.03401603636078075,0.05537268175467852,0.6956521739130435,0.6143107988066099,2,0.014886421811136537,0.04895675030701878,True,23,False
large_trade_count,tgt_ret_1,False,0.012173215648752629,0.010221669520393249,0.0625606703822611,0.5652173913043478,0.16338810722353728,2,-0.0230623644068665,0.019485217432200302,False,23,False
large_trade_volume_pct,tgt_ret_1,False,0.029823830197422522,0.029387783774309617,0.07212728551614819,0.6956521739130435,0.4074433629937473,2,0.03944770199422484,0.019048405211229892,True,23,False
large_buy_pct,tgt_ret_1,False,0.021816789458634835,0.01873147873015457,0.053291366148782014,0.5652173913043478,0.35149180972127664,4,0.01942349339790391,0.03295789966252993,True,23,False
vwap,tgt_ret_1,False,-0.03804327445389052,-0.12543762906856884,0.03930081107576778,1.0,3.1917313061742782,0,-0.0803119275299411,-0.003442822921526834,True,23,True
vwap_buy,tgt_ret_1,False,-0.037904762577038856,-0.12525467477997057,0.03944587868588906,1.0,3.1753551689742894,0,-0.08016260198677941,-0.0033041126577902052,True,23,True
vwap_sell,tgt_ret_1,False,-0.03815471216928847,-0.12578600265647633,0.039074655374929886,1.0,3.2191199499914216,0,-0.0804245664455007,-0.003474537319310227,True,23,True
vwap_spread,tgt_ret_1,False,0.04520619695329117,0.05440917311788278,0.07198881024232016,0.8260869565217391,0.7558004214090648,1,0.024214484130321953,0.06528519605067226,True,23,True
